nokia-conf | /configure/aaa/radius/isa-policy[name=*]/authentication/include-attributes/xconnect-tunnel-home-address | boolean
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/user-name/format | enumeration
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/user-name/mac-format | types-nat:mac-format
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/purpose/accounting/udp-port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/purpose/authentication/udp-port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/purpose/coa/udp-port | types-sros:tcp-udp-port-non-zero
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/ip-address | types-sros:ipv4-unicast-address
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/server[index=*]/secret | types-sros:encrypted-leaf
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/source-address-range | types-sros:ipv4-unicast-address
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/timeout | types-sros:time-duration
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/total-tries | uint32
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/router-instance | string
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/servers/access-algorithm | types-radius:isa-server-selection-algo
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/description | types-sros:description
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/password | types-sros:encrypted-leaf
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/nas-ip-address-origin | enumeration
nokia-conf | /configure/aaa/radius/isa-policy[name=*]/python-policy | leafref
nokia-conf | /configure/aaa/radius/coa-port | inet:port-number
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/connection/ipv4/local-address | types-sros:ipv4-unicast-address
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/connection/ipv4/allow-connections | boolean
nokia-conf | /configure/aaa/diameter/node[origin-host=*]/connection/ipv6/local-address | types-sros:ipv6-unicast-address
