nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[direction=*][message-type=*][ip-address=*][port=*]/gx-credit-control-terminate-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[ip-address=*][port=*][direction=*][message-type=*]/gx-re-authorization-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/statistics/client-side-messages[port=*][direction=*][message-type=*][ip-address=*]/gx-session-abbort-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/client-side-peer-info[ip-address=*][port=*]/ip-address | types-sros:ip-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/client-side-peer-info[ip-address=*][port=*]/port | types-sros:tcp-udp-port
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/client-side-peer-info[port=*][ip-address=*]/psm-state | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/client-side-peer-info[port=*][ip-address=*]/pending-transactions | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/oper-state | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/local-state | types-diam:diam-proxy-mcs-state
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/local-origin-state-id | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/local-mac-address | yang:mac-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/local-controller-mac-address | yang:mac-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/remote-state | types-diam:diam-proxy-mcs-state
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/remote-origin-state-id | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/remote-mac-address | yang:mac-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/proxy/remote-controller-mac-address | yang:mac-address
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/direction | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/message-type | enumeration
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/last-cleared | yang:date-and-time
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/total-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/failed-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/capability-exchange-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/disconnect-peer-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/device-watchdog-messages | uint32
nokia-state | /state/aaa/diameter/peer-policy[name=*]/peer[peer-name=*]/statistics/messages[direction=*][message-type=*]/authentication-authorization-messages | uint32
